"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","SepWT_3 Area","SepWT_2 Area","SepWT_1 Area","SepDel_1 Area","SepDel_2 Area","SepDel_3 Area","SepComp_1 Area","SepComp_2 Area","SepComp_3 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
1332,true,"MMAR_0424|MMAR_0424|conserved",36.84,35.27,7,7,"",3365.8037,3996.1316,3067.2935,2849.758,3010.6978,3573.6184,1601.4999,1350.7795,1272.3269,1.10:1.30:1.00:0.93:0.98:1.17:0.52:0.44:0.41,3476.4097,3144.6914,1408.2021,1.00:0.90:0.41,26422,"hypothetical protein|242 AA"
599,true,"MMAR_0911|grcC1|polyprenyl",33.64,31.94,10,9,"Carbamidomethylation; Oxidation (M); Pyro-glu from Q",2023.511,1629.4722,1199.6123,5046.652,3864.54,4165.1304,1406.0349,1523.8145,1316.1958,1.69:1.36:1.00:4.21:3.22:3.47:1.17:1.27:1.10,1617.5319,4358.774,1415.3484,1.00:2.69:0.88,35716,"diphosphate synthetase, GrcC1|336 AA"
4,true,"MMAR_0995|rpoB|DNA-directed",72.43,69.39,87,81,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",71889.695,75258.69,77930.16,76978.76,80835.94,79494.336,34290.11,35272.297,34708.902,0.92:0.97:1.00:0.99:1.04:1.02:0.44:0.45:0.45,75026.18,79103.016,34757.1,1.00:1.05:0.46,129515,"RNA polymerase, beta subunit, RpoB|1177 AA"
738,true,"MMAR_3683|dnaJ2|chaperone",69.10,32.01,11,10,"Carbamidomethylation; Oxidation (M)",3861.1753,3826.832,4282.784,7178.3667,7034.2607,6944.769,2315.3372,2272.2869,2369.8638,0.90:0.89:1.00:1.68:1.64:1.62:0.54:0.53:0.55,3990.264,7052.466,2362.9458,1.00:1.77:0.59,39979,"protein DnaJ2|379 AA"
1291,true,"MMAR_1554|MMAR_1554|conserved",21.53,14.29,4,4,"Deamidation (NQ)",886.7623,1106.2645,1120.5251,1725.0859,1662.9928,1540.2213,335.5033,686.26587,739.22595,0.79:0.99:1.00:1.54:1.48:1.37:0.30:0.61:0.66,1037.8507,1642.7667,586.99835,1.00:1.58:0.57,42516,"hypothetical secreted protein|379 AA"
2296,true,"MMAR_0314|MMAR_0314|conserved",16.45,11.27,2,1,"",685.9845,749.71326,870.879,788.67566,822.0531,552.2523,430.02887,419.34775,197.10121,0.79:0.86:1.00:0.91:0.94:0.63:0.49:0.48:0.23,768.85895,720.9937,348.82593,1.00:0.94:0.45,7872,"hypothetical protein|72 AA"
2091,true,"MMAR_0575|MMAR_0575|conserved",29.62,17.19,2,2,"",523.51776,514.203,781.9962,904.2589,648.8114,792.32574,314.3259,278.87024,278.75803,0.67:0.66:1.00:1.16:0.83:1.01:0.40:0.36:0.36,606.5723,781.7987,290.6514,1.00:1.29:0.48,27273,"hypothetical hydrolytic protein|257 AA"
1896,true,"MMAR_2908|MMAR_2908|cutinase",25.94,23.81,3,3,"Carbamidomethylation",995.8586,939.5094,1553.9238,4147.5522,2383.986,2867.4363,763.51526,1140.3845,834.422,0.64:0.60:1.00:2.67:1.53:1.85:0.49:0.73:0.54,1163.0973,3132.9917,912.7739,1.00:2.69:0.78,23890,"precursor |232 AA"
1713,true,"MMAR_4725|MMAR_4725|conserved",46.15,3.67,1,1,"",206.04156,196.05327,270.4551,472.35812,410.14066,491.3382,99.25878,73.08095,76.450516,0.76:0.72:1.00:1.75:1.52:1.82:0.37:0.27:0.28,224.18332,457.94565,82.930084,1.00:2.04:0.37,44115,"hypothetical metal-dependent hydrolase|382 AA"
11,true,"MMAR_1772|ppsE|phenolpthiocerol",55.15,52.87,79,70,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",33787.46,34824.688,36872.1,57865.25,56135.97,54583.28,26350.826,27985.375,24809.29,0.92:0.94:1.00:1.57:1.52:1.48:0.71:0.76:0.67,35161.414,56194.832,26381.83,1.00:1.60:0.75,157937,"synthesis type-I polyketide synthase PpsE|1482 AA"
1013,true,"MMAR_4171|MMAR_4171|transmembrane",12.79,8.40,8,6,"",953.8157,1128.4208,1156.4086,1684.8792,2075.401,1541.341,1334.2712,538.5847,876.5721,0.82:0.98:1.00:1.46:1.79:1.33:1.15:0.47:0.76,1079.5483,1767.2069,916.47595,1.00:1.64:0.85,70268,"serine/threonine-protein kinase|668 AA"
2137,true,"MMAR_2618|MMAR_2618|amidohydrolase|423",21.36,4.03,1,1,"",193.26683,162.84428,248.09836,278.75787,255.86691,305.4655,123.75164,166.56212,151.61208,0.78:0.66:1.00:1.12:1.03:1.23:0.50:0.67:0.61,201.40315,280.0301,147.30861,1.00:1.39:0.73,47106,"AA"
1469,true,"MMAR_3666|MMAR_3666|PPE",4.35,7.18,3,2,"Deamidation (NQ)",4356.9395,2501.9404,3256.888,2674.7976,4613.908,966.947,1531.721,2038.1188,1788.1614,1.34:0.77:1.00:0.82:1.42:0.30:0.47:0.63:0.55,3371.9226,2751.8843,1786.0002,1.00:0.82:0.53,61286,"family protein|642 AA"
700,true,"MMAR_1119|alr|alanine",40.88,27.84,13,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",3824.104,4121.824,4242.09,3483.9204,4413.6636,3485.687,1584.9329,1141.7834,1436.0587,0.90:0.97:1.00:0.82:1.04:0.82:0.37:0.27:0.34,4062.6726,3794.4236,1387.5917,1.00:0.93:0.34,41044,"racemase, Alr|389 AA"
1652,true,"MMAR_3096|MMAR_3096|conserved",32.09,15.83,3,3,"Oxidation (M)",1302.7546,1579.0903,1258.6663,1119.8035,1457.9977,1402.4462,667.11035,757.1288,668.29694,1.04:1.25:1.00:0.89:1.16:1.11:0.53:0.60:0.53,1380.1704,1326.7491,697.512,1.00:0.96:0.51,27858,"hypothetical protein|260 AA"
1531,true,"MMAR_4414|MMAR_4414|conserved",22.25,28.74,6,5,"",529.5868,1611.5865,1723.3014,2805.7202,3205.9668,2788.5847,594.3452,549.31586,571.6135,0.31:0.94:1.00:1.63:1.86:1.62:0.34:0.32:0.33,1354.9628,2933.4238,571.7582,1.00:2.16:0.42,29265,"hypothetical protein|262 AA"
1474,true,"MMAR_0347|msrA|peptide",64.90,45.03,5,5,"",10218.667,10976.14,11850.546,13422.874,12337.189,12298.585,3403.707,3662.0625,3322.6958,0.86:0.93:1.00:1.13:1.04:1.04:0.29:0.31:0.28,11015.117,12686.217,3462.8218,1.00:1.15:0.31,19183,"methionine sulfoxide reductase MsrA|172 AA"
1569,true,"MMAR_3109|MMAR_3109|dehydrogenase|294",31.57,10.58,4,3,"",951.1322,976.71814,1219.847,1887.8416,1967.8243,1774.8186,639.374,343.01373,560.47205,0.78:0.80:1.00:1.55:1.61:1.45:0.52:0.28:0.46,1049.2324,1876.8281,561.8852,1.00:1.79:0.54,31111,"AA"
1538,false,"MMAR_3659|esxN_4|EsaT-6",28.04,18.09,1,1,"Acetylation (Protein N-term)",1468.2666,1559.8633,1660.8153,75.501755,60.321312,332.78748,1696.1104,1291.1833,1587.909,0.88:0.94:1.00:0.05:0.04:0.20:1.02:0.78:0.96,1562.9817,156.20352,1525.0676,1.00:0.10:0.98,9852,"like protein EsxN_4|95 AA"
1206,true,"MMAR_4766|MMAR_4766|conserved",78.22,24.00,3,3,"Deamidation (NQ); Oxidation (M)",1536.4065,1510.1606,1342.4417,2773.3362,2770.722,2850.4246,378.15936,406.88266,376.54602,1.14:1.12:1.00:2.07:2.06:2.12:0.28:0.30:0.28,1463.0029,2798.161,452.85464,1.00:1.91:0.31,25944,"hypothetical exported protein|251 AA"
808,true,"MMAR_3651|dgt|deoxyguanosine",13.41,24.56,10,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",1750.6265,2204.2478,1546.0872,1015.04297,1720.0669,1260.3187,1147.1271,799.0595,1123.5342,1.13:1.43:1.00:0.66:1.11:0.82:0.74:0.52:0.73,1833.6538,1331.8096,1023.24023,1.00:0.73:0.56,49402,"triphosphate triphosphohydrolase Dgt|457 AA"
96,true,"MMAR_2286|moxR1|transcriptional",77.16,81.13,25,21,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",24459.371,25206.02,25584.238,44243.227,44598.766,44894.867,16935.719,15791.994,16767.988,0.96:0.99:1.00:1.73:1.74:1.75:0.66:0.62:0.66,25083.209,44578.953,16498.568,1.00:1.78:0.66,40012,"regulatory protein, MoxR1|372 AA"
283,true,"MMAR_1241|MMAR_1241|conserved",68.26,60.99,21,20,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",9990.164,11814.703,10829.673,16208.559,15733.291,17375.188,3127.574,3394.309,3246.5967,0.92:1.09:1.00:1.50:1.45:1.60:0.29:0.31:0.30,10878.18,16439.014,3256.16,1.00:1.51:0.30,45276,"hypothetical protein|424 AA"
113,true,"MMAR_0002|dnaN|DNA",53.33,65.42,30,30,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",62388.035,65499.86,70148.07,62278.89,61797.33,61687.94,29489.098,30697.7,26013.727,0.89:0.93:1.00:0.89:0.88:0.88:0.42:0.44:0.37,66011.984,61921.383,28733.508,1.00:0.94:0.44,42283,"polymerase III (beta chain) DnaN |403 AA"
1428,true,"MMAR_4928|aldA|NAD-dependent",29.69,14.93,5,5,"Oxidation (M)",1087.5312,928.0553,1326.669,1687.406,1538.3462,1504.9402,794.5813,724.62946,841.47,0.82:0.70:1.00:1.27:1.16:1.13:0.60:0.55:0.63,1114.0852,1576.8975,786.89355,1.00:1.42:0.71,51023,"aldehyde dehydrogenase, AldA|490 AA"
1955,true,"MMAR_0655|coxM|carbon",13.60,11.15,3,3,"Carbamidomethylation",537.4435,790.6075,715.30676,914.4546,883.3808,659.44354,527.0113,529.8188,539.64276,0.75:1.11:1.00:1.28:1.23:0.92:0.74:0.74:0.75,681.11926,819.093,532.1576,1.00:1.20:0.78,31478,"monoxyde dehydrogenase (medium chain), CoxM|297 AA"
532,true,"MMAR_1711|ilvN|acetolactate",60.06,77.51,14,13,"Deamidation (NQ); Oxidation (M)",13317.926,13544.532,14369.91,19994.82,17625.408,17102.373,5867.6953,6072.552,5537.836,0.93:0.94:1.00:1.39:1.23:1.19:0.41:0.42:0.39,13744.123,18240.867,5826.0273,1.00:1.33:0.42,18257,"synthase (small subunit) IlvN|170 AA"
701,true,"MMAR_3678|phoH1|PhoH-like",30.22,38.92,11,10,"Oxidation (M)",3942.0508,3896.207,3479.6357,6133.921,5891.334,5980.411,1873.7589,1963.1268,976.35486,1.13:1.12:1.00:1.76:1.69:1.72:0.54:0.56:0.28,3772.6313,6001.8887,1604.4136,1.00:1.59:0.43,37771,"protein PhoH1|353 AA"
1628,true,"MMAR_1735|thiL|thiamine-monophosphate",10.52,14.02,3,3,"",745.0318,673.45325,658.12305,330.2621,452.1293,674.62683,451.1701,460.02087,457.4348,1.13:1.02:1.00:0.50:0.69:1.03:0.69:0.70:0.70,692.2027,485.67276,456.2086,1.00:0.70:0.66,33154,"kinase ThiL|322 AA"
1928,true,"MMAR_0807|MMAR_0807|conserved",5.06,17.24,2,2,"Deamidation (NQ); Oxidation (M)",657.85486,646.9532,516.1057,1053.8325,426.82755,1085.7511,536.7165,485.01074,510.91226,1.27:1.25:1.00:2.04:0.83:2.10:1.04:0.94:0.99,606.97125,855.47046,510.87982,1.00:1.41:0.84,18992,"hypothetical protein|175 AA"
1757,true,"MMAR_1727|leuD|3-isopropylmalate",53.79,30.81,4,4,"Oxidation (M)",1917.7681,2438.17,2343.0981,3150.5647,3031.9446,2731.4995,790.3386,690.884,722.65076,0.82:1.04:1.00:1.34:1.29:1.17:0.34:0.29:0.31,2233.012,2971.3364,734.62445,1.00:1.33:0.33,21903,"dehydratase (small subunit) LeuD|199 AA"
715,true,"MMAR_0523|MMAR_0523|urea",61.12,34.60,10,9,"Deamidation (NQ); Oxidation (M)",5017.859,5497.7646,4497.3086,20726.148,20268.305,19225.754,1691.4092,1156.9634,1477.3304,1.12:1.22:1.00:4.61:4.51:4.27:0.38:0.26:0.33,5004.3105,20073.402,1441.901,1.00:4.01:0.29,30689,"amidolyase-related protein|290 AA"
1322,true,"MMAR_3305|MMAR_3305|conserved",2.00,22.86,5,4,"Carbamidomethylation",6190.889,1438.489,1204.5497,1058.5837,1646.1774,1618.4227,672.0258,3567.2947,742.50195,5.14:1.19:1.00:0.88:1.37:1.34:0.56:2.96:0.62,2944.6426,1441.0613,1660.6075,1.00:0.49:0.56,26918,"protein|246 AA"
1233,true,"MMAR_3413|MMAR_3413|oxidoreductase|462",43.68,23.43,7,7,"Carbamidomethylation; Oxidation (M)",2113.9692,2530.7593,2501.4932,4140.5557,3224.4854,3001.7358,1046.0063,863.83936,927.5537,0.85:1.01:1.00:1.66:1.29:1.20:0.42:0.35:0.37,2382.074,3455.5923,945.7998,1.00:1.45:0.40,48648,"AA"
2428,true,"MMAR_4999|MMAR_4999|PE-PGRS",34.87,0.95,1,1,"",111.02085,123.66989,132.1421,100.364006,119.58104,114.45773,71.627846,66.19365,73.70884,0.84:0.94:1.00:0.76:0.90:0.87:0.54:0.50:0.56,122.27762,111.46759,70.51011,1.00:0.91:0.58,124880,"family protein|1577 AA"
1109,true,"MMAR_2828|lipD|lipase",37.49,22.48,7,7,"Carbamidomethylation; Oxidation (M)",1984.1404,2828.8584,1564.8127,5747.9316,5275.4224,5805.3145,1077.9929,1162.0532,785.4997,1.27:1.81:1.00:3.67:3.37:3.71:0.69:0.74:0.50,2125.937,5609.556,1008.5153,1.00:2.64:0.47,45017,"LipD|428 AA"
819,true,"MMAR_0994|mkl|ribonucleotide-transport",47.65,29.88,10,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",3502.2886,4731.1133,5199.1714,14631.152,13397.536,12207.742,2582.839,2259.5757,2647.3257,0.67:0.91:1.00:2.81:2.58:2.35:0.50:0.43:0.51,4477.5244,13412.145,2496.58,1.00:3.00:0.56,35896,"ATP-binding protein ABC transporter, Mkl|329 AA"
1288,true,"MMAR_0720|thiG|thiamin",33.68,40.53,7,7,"Carbamidomethylation",595.42413,644.7682,684.1028,2588.2188,2010.136,2293.238,787.41846,399.67368,641.1393,0.87:0.94:1.00:3.78:2.94:3.35:1.15:0.58:0.94,641.4317,2297.1975,609.4105,1.00:3.58:0.95,26937,"biosynthesis protein ThiG |265 AA"
570,false,"#CONTAM#cont|000122|",65.83,9.44,14,5,"Oxidation (M)",7285.8867,7334.913,7537.047,2963.5168,2737.381,2643.4023,2373.808,2514.386,2653.214,0.97:0.97:1.00:0.39:0.36:0.35:0.31:0.33:0.35,7385.9487,2781.4333,2513.8027,1.00:0.38:0.34,59519,"spt|P13645| Keratin, type I cytoskeletal 10 (Cytokeratin 10) (K10) (CK 10) [Homo sapiens (contaminant)]"
2307,true,"MMAR_4573|MMAR_4573|ATP",1.59,1.30,1,1,"",203.56032,440.23785,462.38095,803.85223,817.1408,157.54108,325.64758,310.9724,284.70605,0.44:0.95:1.00:1.74:1.77:0.34:0.70:0.67:0.62,368.72638,592.8447,307.10867,1.00:1.61:0.83,84638,"dependent DNA ligase|771 AA"
1884,true,"MMAR_3746|MMAR_3746|conserved",10.81,10.76,2,2,"Oxidation (M)",403.92795,812.17377,484.87848,365.21542,461.54572,733.6271,115.39621,64.30786,437.68655,0.83:1.68:1.00:0.75:0.95:1.51:0.24:0.13:0.90,566.9934,520.1294,205.79688,1.00:0.92:0.36,27534,"hypothetical protein|252 AA"
2052,true,"MMAR_5175|cyp137A2|cytochrome",41.86,3.73,1,1,"Oxidation (M)",88.53027,93.08232,110.21789,340.44382,266.12024,270.56805,139.64597,122.3042,115.70224,0.80:0.84:1.00:3.09:2.41:2.45:1.27:1.11:1.05,97.276825,292.37738,125.88413,1.00:3.01:1.29,50891,"P450 137A2 Cyp137A2|457 AA"
736,true,"MMAR_0982|MMAR_0982|conserved",35.81,26.68,12,10,"Deamidation (NQ); Oxidation (M)",1977.1116,2411.4224,2580.0732,4905.342,4277.5537,3694.9214,1181.7175,1197.6853,763.88916,0.77:0.93:1.00:1.90:1.66:1.43:0.46:0.46:0.30,2322.8691,4292.6055,1047.764,1.00:1.85:0.45,51190,"hypothetical protein|462 AA"
1905,true,"MMAR_4279|fbiC|F420",7.38,5.61,4,3,"Oxidation (M)",596.88965,1195.3767,1129.767,854.68884,773.5019,905.9284,691.1121,623.1612,578.148,0.53:1.06:1.00:0.76:0.68:0.80:0.61:0.55:0.51,974.01105,844.7064,630.80707,1.00:0.87:0.65,92077,"biosynthesis protein FbiC|857 AA"
1869,true,"MMAR_1635|MMAR_1635|transcriptional",12.68,11.06,2,2,"",1235.7648,972.7968,556.73145,967.54016,773.92584,1046.187,568.22046,482.25076,470.0525,2.22:1.75:1.00:1.74:1.39:1.88:1.02:0.87:0.84,921.76434,929.21765,506.84122,1.00:1.01:0.55,24353,"regulatory protein (TetR-family)|218 AA"
756,true,"MMAR_2045|ribD|bifunctional",52.10,43.46,9,8,"",3892.182,4464.4175,4638.6865,5339.465,4805.1504,4444.178,924.0792,1219.654,1153.9692,0.84:0.96:1.00:1.15:1.04:0.96:0.20:0.26:0.25,4331.7617,4862.931,1099.2341,1.00:1.12:0.25,27664,"enzyme riboflavin biosynthesis protein RibD|261 AA"
220,true,"MMAR_4135|MMAR_4135|carbonic",77.46,90.18,13,13,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",119696.17,126812.5,126185.3,170557.05,164501.16,168131.95,63621.812,61540.21,60362.45,0.95:1.00:1.00:1.35:1.30:1.33:0.50:0.49:0.48,124231.32,167730.06,61841.492,1.00:1.35:0.50,17793,"anhydrase|164 AA"
1356,true,"MMAR_2232|lipO|esterase",34.74,18.97,5,5,"Deamidation (NQ)",738.1625,599.5938,789.8487,1094.0197,1141.9033,1188.2397,624.1234,541.4146,560.5964,0.93:0.76:1.00:1.39:1.45:1.50:0.79:0.69:0.71,709.20166,1141.3876,575.3781,1.00:1.61:0.81,47322,"LipO|428 AA"
1551,true,"MMAR_4297|MMAR_4297|conserved",42.53,25.81,4,3,"",1118.4934,981.73444,1054.2279,1271.6204,1237.5453,1147.6023,369.19794,505.5683,476.52875,1.06:0.93:1.00:1.21:1.17:1.09:0.35:0.48:0.45,1051.4852,1218.9226,450.43164,1.00:1.16:0.43,6881,"hypothetical protein|63 AA"
144,true,"MMAR_1704|gatB|glutamyl-tRNA(Gln)",51.44,66.53,31,28,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",15313.294,17243.633,17539.674,31736.176,29132.375,32573.617,9474.905,10420.255,11442.029,0.87:0.98:1.00:1.81:1.66:1.86:0.54:0.59:0.65,16698.867,31147.389,10445.7295,1.00:1.87:0.63,54239,"amidotransferase (subunit B) GatB|503 AA"
705,true,"MMAR_4450|MMAR_4450|hypothetical",10.31,41.33,10,9,"Deamidation (NQ); Oxidation (M)",2852.2886,2740.606,2613.7966,4921.149,1709.9691,4129.6133,852.86035,1737.3054,1818.5012,1.09:1.05:1.00:1.88:0.65:1.58:0.33:0.66:0.70,2735.5637,3586.9106,1469.5557,1.00:1.31:0.54,34605,"protein|301 AA"
2443,true,"MMAR_2169|MMAR_2169|conserved",20.60,6.77,1,1,"",312.05743,410.96494,491.57504,856.3794,710.11005,649.0065,335.2838,129.74669,115.34893,0.63:0.84:1.00:1.74:1.44:1.32:0.68:0.26:0.23,404.8658,738.49866,193.45981,1.00:1.82:0.48,14300,"hypothetical protein|134 AA"
1117,true,"MMAR_3240|qcrB|ubiquinol-cytochrome",31.15,16.93,9,8,"Deamidation (NQ)",3898.4175,4302.159,5017.7793,8435.512,10016.246,7050.34,2400.0708,1151.6074,1922.6855,0.78:0.86:1.00:1.68:2.00:1.41:0.48:0.23:0.38,4406.118,8500.698,1824.788,1.00:1.93:0.41,62188,"C reductase QcrB|562 AA"
1165,true,"MMAR_0455|fadE3_2|acyl-CoA",19.55,12.56,4,3,"Deamidation (NQ); Oxidation (M)",576.91785,855.32227,420.037,465.10095,489.85968,472.4361,262.93936,292.0283,279.1904,1.37:2.04:1.00:1.11:1.17:1.12:0.63:0.70:0.66,617.4257,475.7989,278.05267,1.00:0.77:0.45,42069,"dehydrogenase FadE3_2|391 AA"
2788,true,"MMAR_1680|MMAR_1680|dehydrogenase/reductase|326",12.37,3.38,1,1,"",0.0,0.0,51.35896,179.7405,132.6312,165.34991,56.547016,53.344566,0.0,0.00:0.00:1.00:3.50:2.58:3.22:1.10:1.04:0.00,51.35896,159.24054,54.945793,1.00:3.10:1.07,35353,"AA"
2202,true,"MMAR_1321|MMAR_1321|conserved",1.62,4.23,1,1,"Oxidation (M)",205.90454,451.96936,539.5458,722.8774,526.1633,306.2209,428.80057,330.74176,443.44363,0.38:0.84:1.00:1.34:0.98:0.57:0.79:0.61:0.82,399.1399,518.42053,400.99533,1.00:1.30:1.00,28010,"hypothetical protein|261 AA"
