"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","NovWT_1 Area","NovWT_2 Area","NovWT_3 Area","NovDel_1 Area","NovDel_2 Area","NovDel_3 Area","NovComp_3 Area","NovComp_1 Area","NovComp_2 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
278,true,"MMAR_1962|dapA|dihydrodipicolinate",40.82,64.33,33,17,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",77461.016,88393.2,74760.875,36172.246,30023.805,31865.703,42324.258,35408.086,33275.992,1.00:1.14:0.97:0.47:0.39:0.41:0.55:0.46:0.43,80205.03,32687.25,37002.78,1.00:0.41:0.46,30706,"synthase DapA|301 AA"
2707,true,"MMAR_4780|MMAR_4780|dehydrogenase|538",14.92,2.98,1,1,"",194.26775,76.72131,578.3676,556.88556,486.00604,507.99152,0.0,0.0,115.151665,1.00:0.39:2.98:2.87:2.50:2.61:0.00:0.00:0.59,283.1189,516.96106,115.151665,1.00:1.83:0.41,56257,"AA"
1117,true,"MMAR_0416|lprK|MCE-family",54.30,28.92,9,8,"Deamidation (NQ); Oxidation (M)",1178.9255,971.602,831.107,2928.018,2399.972,3537.4875,236.50787,258.30872,220.57375,1.00:0.82:0.70:2.48:2.04:3.00:0.20:0.22:0.19,993.8782,2955.1592,238.46344,1.00:2.97:0.24,43773,"lipoprotein LprK (MCE-family lipoprotein Mce1E)|409 AA"
1256,true,"MMAR_0424|MMAR_0424|conserved",54.64,41.49,15,9,"Deamidation (NQ); Oxidation (M)",16566.209,14048.027,18535.672,3851.272,3374.4946,3709.9722,2516.9624,2513.3953,3178.6387,1.00:0.85:1.12:0.23:0.20:0.22:0.15:0.15:0.19,16383.303,3645.2463,2736.332,1.00:0.22:0.17,26422,"hypothetical protein|242 AA"
666,true,"MMAR_0911|grcC1|polyprenyl",15.81,34.93,16,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",4969.475,3252.327,4642.231,4798.6216,4930.7793,5157.141,3589.5103,2075.6558,1733.831,1.00:0.65:0.93:0.97:0.99:1.04:0.72:0.42:0.35,4288.0107,4962.1807,2466.3323,1.00:1.16:0.58,35716,"diphosphate synthetase, GrcC1|336 AA"
3,true,"MMAR_0995|rpoB|DNA-directed",38.14,78.40,162,103,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from E; Pyro-glu from Q",214249.97,209672.53,145657.69,215267.19,147375.95,202568.44,28406.398,34185.72,47150.76,1.00:0.98:0.68:1.00:0.69:0.95:0.13:0.16:0.22,189860.06,188403.84,36580.96,1.00:0.99:0.19,129515,"RNA polymerase, beta subunit, RpoB|1177 AA"
2837,true,"MMAR_5473|MMAR_5473|conserved",8.33,3.53,2,2,"",100.626114,273.97964,69.884605,378.2525,170.69968,912.5213,287.9575,297.00632,333.50955,1.00:2.72:0.69:3.76:1.70:9.07:2.86:2.95:3.31,148.16345,487.15784,306.15778,1.00:3.29:2.07,83496,"hypothetical secreted protein|794 AA"
597,true,"MMAR_3683|dnaJ2|chaperone",5.60,38.36,29,14,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",67108.266,61038.793,39960.75,48705.723,44631.3,19595.617,33806.9,43719.363,29657.309,1.00:0.91:0.60:0.73:0.67:0.29:0.50:0.65:0.44,56035.938,37644.215,35745.223,1.00:0.67:0.64,39979,"protein DnaJ2|379 AA"
1425,true,"MMAR_1554|MMAR_1554|conserved",42.94,26.72,9,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",4647.1787,6622.2144,5505.4624,3736.658,2901.2773,3219.159,241.62416,358.6822,577.75604,1.00:1.42:1.18:0.80:0.62:0.69:0.05:0.08:0.12,5591.6187,3285.698,392.68747,1.00:0.59:0.07,42516,"hypothetical secreted protein|379 AA"
2740,true,"MMAR_0314|MMAR_0314|conserved",4.96,11.27,1,1,"Oxidation (M)",224.51138,157.83725,123.95591,146.45258,104.13808,67.64437,146.03384,158.03288,3810.0803,1.00:0.70:0.55:0.65:0.46:0.30:0.65:0.70:16.97,168.76819,106.07834,1371.3823,1.00:0.63:8.13,7872,"hypothetical protein|72 AA"
1915,true,"MMAR_0575|MMAR_0575|conserved",10.55,28.52,6,4,"Deamidation (NQ); Oxidation (M)",3201.5967,3454.3845,2786.5432,4518.1313,2838.0742,3327.0803,2014.8359,1054.4727,2739.255,1.00:1.08:0.87:1.41:0.89:1.04:0.63:0.33:0.86,3147.5083,3561.0952,1936.1879,1.00:1.13:0.62,27273,"hypothetical hydrolytic protein|257 AA"
1217,true,"MMAR_2908|MMAR_2908|cutinase",48.16,48.48,9,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",21775.428,21234.734,33181.79,15837.202,14361.803,12023.956,1328.9194,999.52344,1872.4208,1.00:0.98:1.52:0.73:0.66:0.55:0.06:0.05:0.09,25397.318,14074.32,1400.2878,1.00:0.55:0.06,23890,"precursor |232 AA"
2118,true,"MMAR_4725|MMAR_4725|conserved",38.67,8.92,3,2,"Oxidation (M)",1236.6112,1455.4084,1410.5983,456.1635,320.52774,135.20071,61.95462,57.864944,57.46107,1.00:1.18:1.14:0.37:0.26:0.11:0.05:0.05:0.05,1367.5393,303.964,59.093544,1.00:0.22:0.04,44115,"hypothetical metal-dependent hydrolase|382 AA"
13,true,"MMAR_1772|ppsE|phenolpthiocerol",37.01,54.36,113,81,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",75429.266,88966.69,89629.66,146532.67,135455.42,145841.56,127029.734,116937.14,126475.1,1.00:1.18:1.19:1.94:1.80:1.93:1.68:1.55:1.68,84675.2,142609.89,123480.66,1.00:1.68:1.46,157937,"synthesis type-I polyketide synthase PpsE|1482 AA"
1457,true,"MMAR_4171|MMAR_4171|transmembrane",27.46,11.84,12,6,"Carbamidomethylation; Deamidation (NQ)",2344.6353,3858.2441,3581.9207,3939.2612,3202.3088,3378.147,1535.9678,1337.0345,1013.2644,1.00:1.65:1.53:1.68:1.37:1.44:0.66:0.57:0.43,3261.6,3506.5723,1326.8849,1.00:1.08:0.41,70268,"serine/threonine-protein kinase|668 AA"
2098,true,"MMAR_2618|MMAR_2618|amidohydrolase|423",22.37,16.11,5,4,"Carbamidomethylation",3005.5723,3961.5054,3753.4023,2099.0864,2716.351,1947.0715,310.50482,562.88416,1270.3049,1.00:1.32:1.25:0.70:0.90:0.65:0.10:0.19:0.42,3573.4932,2254.1697,714.56464,1.00:0.63:0.20,47106,"AA"
3406,true,"MMAR_3604|MMAR_3604|plasmid",43.82,6.32,1,1,"",99.33136,340.58676,203.44215,0.0,81.2055,59.54204,0.0,0.0,0.0,1.00:3.43:2.05:0.00:0.82:0.60:0.00:0.00:0.00,214.45343,70.37377,0.0,1.00:0.33:0.00,41149,"maintenance system antidote protein|365 AA"
1460,true,"MMAR_3666|MMAR_3666|PPE",43.36,9.20,6,3,"Acetylation (Protein N-term); Deamidation (NQ)",39978.7,38478.39,39275.453,11352.035,10159.118,10258.617,2753.2786,5555.7856,4792.299,1.00:0.96:0.98:0.28:0.25:0.26:0.07:0.14:0.12,39244.18,10589.924,4367.121,1.00:0.27:0.11,61286,"family protein|642 AA"
557,true,"MMAR_1119|alr|alanine",11.47,51.03,26,14,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",10439.795,11230.34,11427.728,5460.501,6121.4053,6988.895,1385.738,6563.044,294.73804,1.00:1.08:1.09:0.52:0.59:0.67:0.13:0.63:0.03,11032.621,6190.267,2925.9565,1.00:0.56:0.27,41044,"racemase, Alr|389 AA"
1391,true,"MMAR_3096|MMAR_3096|conserved",50.66,41.31,8,6,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",4028.9954,3661.0972,3943.3096,4037.081,3530.9065,3881.8599,1199.6316,851.52924,1036.2576,1.00:0.91:0.98:1.00:0.88:0.96:0.30:0.21:0.26,3877.8008,3816.6157,1029.1394,1.00:0.98:0.27,27858,"hypothetical protein|260 AA"
1761,true,"MMAR_4414|MMAR_4414|conserved",29.25,39.46,6,6,"Acetylation (Protein N-term); Carbamidomethylation",2222.2446,2623.2417,1641.6261,925.16473,809.2087,598.1935,3974.6558,3171.945,2285.663,1.00:1.18:0.74:0.42:0.36:0.27:1.79:1.43:1.03,2162.3708,777.5223,3539.8213,1.00:0.36:1.64,29265,"hypothetical protein|262 AA"
1466,true,"MMAR_0347|msrA|peptide",50.24,54.39,12,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",22579.207,24122.94,24834.332,13052.548,11991.414,13301.831,11473.894,10805.387,9831.162,1.00:1.07:1.10:0.58:0.53:0.59:0.51:0.48:0.44,23845.494,12781.932,10703.48,1.00:0.54:0.45,19183,"methionine sulfoxide reductase MsrA|172 AA"
2491,true,"MMAR_0696|lpqK|Conserved",56.58,9.44,3,2,"",753.6645,212.00238,349.53476,634.86017,366.4285,540.7146,0.0,0.0,0.0,1.00:0.28:0.46:0.84:0.49:0.72:0.00:0.00:0.00,438.40054,514.0011,0.0,1.00:1.17:0.00,44556,"lipoprotein, LpqK|414 AA"
1819,true,"MMAR_3109|MMAR_3109|dehydrogenase|294",5.83,19.80,5,5,"Carbamidomethylation",2903.8342,3167.4668,2383.9744,2239.8135,1909.3724,1900.7432,1501.1976,3196.4438,1521.3711,1.00:1.09:0.82:0.77:0.66:0.65:0.52:1.10:0.52,2818.425,2016.6431,2073.0042,1.00:0.72:0.74,31111,"AA"
3082,true,"MMAR_5308|MMAR_5308|PE-PGRS",62.55,1.85,1,1,"",310.651,271.31787,125.0838,0.0,0.0,0.0,0.0,0.0,0.0,1.00:0.87:0.40:0.00:0.00:0.00:0.00:0.00:0.00,235.68422,0.0,0.0,1.00:0.00:0.00,88780,"family protein|1080 AA"
2122,true,"MMAR_3659|esxN_4|EsaT-6",13.74,21.28,3,1,"",0.0,108.8577,0.0,99.03884,252.84393,161.93674,430.6165,150.33372,370.4406,-:64.00:-:64.00:64.00:64.00:64.00:64.00:64.00,108.8577,171.27316,317.13028,1.00:1.57:2.91,9852,"like protein EsxN_4|95 AA"
1677,true,"MMAR_4766|MMAR_4766|conserved",41.40,18.80,4,2,"Deamidation (NQ); Oxidation (M)",1322.3025,1504.0255,1042.1506,1825.9155,1092.0948,1845.6165,260.5833,261.74338,258.4698,1.00:1.14:0.79:1.38:0.83:1.40:0.20:0.20:0.20,1289.4929,1587.8756,260.2655,1.00:1.23:0.20,25944,"hypothetical exported protein|251 AA"
855,true,"MMAR_3651|dgt|deoxyguanosine",8.36,37.06,19,13,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",1606.8368,3586.411,3145.4668,4659.5957,4250.158,2865.1807,689.6923,1539.2845,2965.1377,1.00:2.23:1.96:2.90:2.65:1.78:0.43:0.96:1.85,2779.5715,3924.9783,1731.3715,1.00:1.41:0.62,49402,"triphosphate triphosphohydrolase Dgt|457 AA"
67,true,"MMAR_2286|moxR1|transcriptional",22.05,88.68,43,25,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",56011.598,34526.566,52599.45,155337.42,120371.445,143186.94,28291.69,19352.754,58035.84,1.00:0.62:0.94:2.77:2.15:2.56:0.51:0.35:1.04,47712.54,139631.94,35344.418,1.00:2.93:0.74,40012,"regulatory protein, MoxR1|372 AA"
473,true,"MMAR_1241|MMAR_1241|conserved",77.34,58.87,24,19,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",31861.863,31682.95,33033.203,8498.167,7382.746,8176.689,1571.8992,1254.7715,1477.6705,1.00:0.99:1.04:0.27:0.23:0.26:0.05:0.04:0.05,32192.672,8019.2007,1434.7804,1.00:0.25:0.04,45276,"hypothetical protein|424 AA"
132,true,"MMAR_0002|dnaN|DNA",54.80,66.42,61,35,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from E; Pyro-glu from Q",196760.9,222178.4,218981.12,130592.3,105927.08,138832.77,46263.42,46172.562,49667.008,1.00:1.13:1.11:0.66:0.54:0.71:0.24:0.23:0.25,212640.16,125117.38,47367.664,1.00:0.59:0.22,42283,"polymerase III (beta chain) DnaN |403 AA"
946,true,"MMAR_4928|aldA|NAD-dependent",11.62,24.34,13,8,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",8459.19,9202.502,6719.324,5312.6455,5633.418,6302.2783,3552.2322,971.76843,4683.957,1.00:1.09:0.79:0.63:0.67:0.75:0.42:0.11:0.55,8127.0054,5749.4473,3069.3193,1.00:0.71:0.38,51023,"aldehyde dehydrogenase, AldA|490 AA"
2860,true,"MMAR_0880|menA|1,4-dihydroxy-2-naphthoate",7.85,2.75,2,1,"",6414.4854,32110.342,9600.625,7159.3413,18104.256,17239.129,7058.2563,5599.3906,946.57666,1.00:5.01:1.50:1.12:2.82:2.69:1.10:0.87:0.15,16041.817,14167.575,4534.741,1.00:0.88:0.28,29623,"octaprenyltransferase, MenA|292 AA"
1083,true,"MMAR_0655|coxM|carbon",20.36,52.70,7,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",2665.2556,1713.6582,2054.2483,2493.022,1615.7205,999.5266,726.0422,624.6134,345.44092,1.00:0.64:0.77:0.94:0.61:0.38:0.27:0.23:0.13,2144.3872,1702.7563,600.8695,1.00:0.79:0.28,31478,"monoxyde dehydrogenase (medium chain), CoxM|297 AA"
875,true,"MMAR_1711|ilvN|acetolactate",5.90,71.60,15,11,"Deamidation (NQ); Oxidation (M)",8489.054,8232.857,7913.914,14082.46,12330.83,12268.853,12708.408,5155.9634,12697.328,1.00:0.97:0.93:1.66:1.45:1.45:1.50:0.61:1.50,8211.941,12894.047,10187.233,1.00:1.57:1.24,18257,"synthase (small subunit) IlvN|170 AA"
980,true,"MMAR_3678|phoH1|PhoH-like",19.96,46.88,9,9,"Deamidation (NQ); Oxidation (M)",6594.7817,6331.9663,6390.6406,4843.742,5163.437,5091.4307,2333.1663,3925.9453,1575.8074,1.00:0.96:0.97:0.73:0.78:0.77:0.35:0.60:0.24,6439.1294,5032.87,2611.6396,1.00:0.78:0.41,37771,"protein PhoH1|353 AA"
1708,true,"MMAR_1735|thiL|thiamine-monophosphate",9.92,23.99,8,5,"Oxidation (M)",1091.965,1389.7216,1840.3518,1814.9447,1305.9471,4948.2754,580.1588,1008.4999,1010.74567,1.00:1.27:1.69:1.66:1.20:4.53:0.53:0.92:0.93,1440.6794,2689.7224,866.46814,1.00:1.87:0.60,33154,"kinase ThiL|322 AA"
1955,true,"MMAR_0807|MMAR_0807|conserved",31.06,17.24,5,2,"Deamidation (NQ); Oxidation (M)",2077.1875,1128.5784,1464.2802,3786.958,4175.04,4219.6353,5506.8335,5452.7,4121.043,1.00:0.54:0.70:1.82:2.01:2.03:2.65:2.63:1.98,1556.682,4060.5444,5026.859,1.00:2.61:3.23,18992,"hypothetical protein|175 AA"
1569,true,"MMAR_1727|leuD|3-isopropylmalate",10.84,52.53,13,7,"Deamidation (NQ); Oxidation (M); Pyro-glu from E",3974.1904,2126.8328,3854.5957,5338.942,6234.9287,7331.6865,5021.034,3149.541,6015.457,1.00:0.54:0.97:1.34:1.57:1.84:1.26:0.79:1.51,3318.5396,6301.8525,4728.6777,1.00:1.90:1.42,21903,"dehydratase (small subunit) LeuD|199 AA"
1067,true,"MMAR_0523|MMAR_0523|urea",31.23,40.14,12,10,"Deamidation (NQ); Oxidation (M)",2944.6494,2648.5635,3072.5962,9072.376,10349.348,11113.041,2041.9363,996.9547,2502.2615,1.00:0.90:1.04:3.08:3.51:3.77:0.69:0.34:0.85,2888.603,10178.255,1847.0509,1.00:3.52:0.64,30689,"amidolyase-related protein|290 AA"
1163,true,"MMAR_3305|MMAR_3305|conserved",39.17,48.98,12,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",8861.027,8795.177,7867.2866,13023.466,10626.957,12593.826,1058.714,2228.3071,988.3877,1.00:0.99:0.89:1.47:1.20:1.42:0.12:0.25:0.11,8507.83,12081.416,1425.1362,1.00:1.42:0.17,26918,"protein|246 AA"
1100,true,"MMAR_3413|MMAR_3413|oxidoreductase|462",64.03,36.88,14,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",22666.732,21519.357,22706.35,6455.584,5848.3506,6595.547,1598.9994,1986.6321,2226.9448,1.00:0.95:1.00:0.28:0.26:0.29:0.07:0.09:0.10,22297.479,6344.3877,1937.5254,1.00:0.28:0.09,48648,"AA"
1905,true,"MMAR_4857|MMAR_4857|transcriptional",11.98,17.77,6,4,"",1017.29517,1686.908,2037.4014,1701.4902,780.49316,1717.2078,786.9746,607.73254,205.81163,1.00:1.66:2.00:1.67:0.77:1.69:0.77:0.60:0.20,1580.5349,1399.7305,533.5062,1.00:0.89:0.34,40225,"regulator|378 AA"
2053,true,"MMAR_4999|MMAR_4999|PE-PGRS",50.88,4.19,3,3,"Deamidation (NQ)",4394.8726,4896.656,4797.6206,948.2158,824.9037,552.9945,388.73755,441.22214,489.8899,1.00:1.11:1.09:0.22:0.19:0.13:0.09:0.10:0.11,4696.383,834.74927,467.42447,1.00:0.18:0.10,124880,"family protein|1577 AA"
1160,true,"MMAR_2828|lipD|lipase",9.24,31.85,15,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",897.30505,2804.9465,2272.503,3633.283,3543.7014,4074.1604,2588.0613,2721.9575,3799.2559,1.00:3.13:2.53:4.05:3.95:4.54:2.88:3.03:4.23,1991.585,3750.3816,3036.4248,1.00:1.88:1.52,45017,"LipD|428 AA"
1041,true,"MMAR_0994|mkl|ribonucleotide-transport",12.46,29.88,11,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",13404.799,33298.48,30755.55,27982.252,17148.1,17112.348,7307.731,13680.634,8991.705,1.00:2.48:2.29:2.09:1.28:1.28:0.55:1.02:0.67,25819.611,20747.566,9993.356,1.00:0.80:0.39,35896,"ATP-binding protein ABC transporter, Mkl|329 AA"
998,true,"MMAR_0720|thiG|thiamin",39.74,40.15,11,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",5027.4263,3591.7646,3965.414,5907.2007,4797.0127,4135.954,219.34445,466.95135,550.6083,1.00:0.71:0.79:1.17:0.95:0.82:0.04:0.09:0.11,4194.8687,4946.7227,627.0133,1.00:1.18:0.15,26937,"biosynthesis protein ThiG |265 AA"
927,false,"#CONTAM#cont|000122|",0.30,7.08,8,3,"Oxidation (M)",1117.9032,1376.6929,312.31708,388.624,482.44775,1423.793,1104.0981,497.59375,584.81775,1.00:1.23:0.28:0.35:0.43:1.27:0.99:0.45:0.52,935.6377,764.9549,728.83655,1.00:0.82:0.78,59519,"spt|P13645| Keratin, type I cytoskeletal 10 (Cytokeratin 10) (K10) (CK 10) [Homo sapiens (contaminant)]"
2810,true,"MMAR_4126|MMAR_4126|conserved",18.52,3.26,1,1,"Oxidation (M)",411.6376,348.2281,217.07924,154.44421,384.05316,214.9109,93.29742,103.93951,107.67624,1.00:0.85:0.53:0.38:0.93:0.52:0.23:0.25:0.26,325.64832,251.1361,101.63772,1.00:0.77:0.31,63188,"hypothetical transport protein|584 AA"
1769,true,"MMAR_3746|MMAR_3746|conserved",19.00,21.51,5,3,"Carbamidomethylation; Oxidation (M)",2147.7002,2489.0928,3513.118,2574.69,2267.7983,2741.178,705.99854,974.28546,1635.3345,1.00:1.16:1.64:1.20:1.06:1.28:0.33:0.45:0.76,2716.637,2527.889,1105.2062,1.00:0.93:0.41,27534,"hypothetical protein|252 AA"
1357,true,"MMAR_0982|MMAR_0982|conserved",58.12,18.44,7,7,"Carbamidomethylation; Oxidation (M)",2285.0527,2045.6005,1993.4387,8483.324,7991.1543,7883.5327,2063.105,2254.202,2592.2058,1.00:0.90:0.87:3.71:3.50:3.45:0.90:0.99:1.13,2108.0308,8119.3374,2303.171,1.00:3.85:1.09,51190,"hypothetical protein|462 AA"
1002,true,"MMAR_4279|fbiC|F420",28.05,17.76,14,10,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",8940.428,9531.965,10562.093,8397.725,4276.2285,5034.124,1475.2634,2839.671,1367.3746,1.00:1.07:1.18:0.94:0.48:0.56:0.17:0.32:0.15,9678.162,5902.6924,1894.1029,1.00:0.61:0.20,92077,"biosynthesis protein FbiC|857 AA"
2546,true,"MMAR_1635|MMAR_1635|transcriptional",7.43,7.37,2,1,"Deamidation (NQ)",203.10011,264.1942,1164.8485,2934.986,2701.906,154.69876,83.489685,0.0,99.51546,1.00:1.30:5.74:14.45:13.30:0.76:0.41:0.00:0.49,544.0476,1930.5303,91.50257,1.00:3.55:0.17,24353,"regulatory protein (TetR-family)|218 AA"
